Tower says: Baloon_B1 registered to weather tower.
Tower says: Baloon_B2 registered to weather tower.
Tower says: JetPlane_J1 registered to weather tower.
Tower says: Helicopter_H1 registered to weather tower.
Tower says: Helicopter_H2 registered to weather tower.
Tower says: Helicopter_H3 registered to weather tower.
Tower says: Baloon_B3 registered to weather tower.
Tower says: JetPlane_J2 registered to weather tower.
Tower says: Helicopter_H4 registered to weather tower.
Baloon_B1: SNOW - {2, 3, 5}
Helicopter_H3: SNOW - {131, 68, 64}
JetPlane_J2: SUN - {11, 151, 97}
Helicopter_H4: SNOW - {266, 23, 24}
Baloon_B2: RAIN - {7, 8, 2}
JetPlane_J1: RAIN - {23, 96, 17}
Helicopter_H3: SNOW - {131, 68, 52}
JetPlane_J2: FOG - {11, 152, 97}
Helicopter_H4: RAIN - {271, 23, 24}
Tower says: Baloon_B2 unregistered from weather tower.
Helicopter_H3: FOG - {132, 68, 52}
JetPlane_J2: SNOW - {11, 152, 90}
Helicopter_H4: RAIN - {276, 23, 24}
JetPlane_J1: RAIN - {23, 101, 17}
Helicopter_H3: SUN - {142, 68, 54}
JetPlane_J2: FOG - {11, 153, 90}
Helicopter_H4: SUN - {286, 23, 26}
JetPlane_J1: RAIN - {23, 106, 17}
Helicopter_H3: SNOW - {142, 68, 42}
JetPlane_J2: RAIN - {11, 158, 90}
Helicopter_H4: SNOW - {286, 23, 14}
JetPlane_J1: FOG - {23, 107, 17}
Helicopter_H3: SUN - {152, 68, 44}
JetPlane_J2: SNOW - {11, 158, 83}
Helicopter_H4: RAIN - {291, 23, 14}
JetPlane_J1: SUN - {23, 117, 19}
Helicopter_H3: SNOW - {152, 68, 32}
JetPlane_J2: RAIN - {11, 163, 83}
Helicopter_H4: FOG - {292, 23, 14}
JetPlane_J1: SNOW - {23, 117, 12}
Helicopter_H3: FOG - {153, 68, 32}
JetPlane_J2: SNOW - {11, 163, 76}
Helicopter_H4: SUN - {302, 23, 16}
JetPlane_J1: RAIN - {23, 122, 12}
Helicopter_H3: RAIN - {158, 68, 32}
JetPlane_J2: SUN - {11, 173, 78}
Helicopter_H4: FOG - {303, 23, 16}
JetPlane_J1: SUN - {23, 132, 14}
Helicopter_H3: RAIN - {163, 68, 32}
JetPlane_J2: FOG - {11, 174, 78}
Helicopter_H4: SUN - {313, 23, 18}
JetPlane_J1: FOG - {23, 133, 14}
Helicopter_H3: SUN - {173, 68, 34}
JetPlane_J2: SUN - {11, 184, 80}
Helicopter_H4: FOG - {314, 23, 18}
JetPlane_J1: RAIN - {23, 138, 14}
Helicopter_H3: SUN - {183, 68, 36}
JetPlane_J2: SUN - {11, 194, 82}
Helicopter_H4: RAIN - {319, 23, 18}
JetPlane_J1: SUN - {23, 148, 16}
Helicopter_H3: SUN - {193, 68, 38}
JetPlane_J2: SUN - {11, 204, 84}
Helicopter_H4: SUN - {329, 23, 20}
JetPlane_J1: SUN - {23, 158, 18}
Helicopter_H3: SNOW - {193, 68, 26}
JetPlane_J2: FOG - {11, 205, 84}
Helicopter_H4: SNOW - {329, 23, 8}
JetPlane_J1: RAIN - {23, 163, 18}
Helicopter_H3: RAIN - {198, 68, 26}
JetPlane_J2: SNOW - {11, 205, 77}
Helicopter_H4: FOG - {330, 23, 8}
JetPlane_J1: SNOW - {23, 163, 11}
Helicopter_H3: SNOW - {198, 68, 14}
JetPlane_J2: RAIN - {11, 210, 77}
Tower says: Helicopter_H4 unregistered from weather tower.
JetPlane_J1: FOG - {23, 164, 11}
Helicopter_H3: RAIN - {203, 68, 14}
JetPlane_J2: SUN - {11, 220, 79}
JetPlane_J1: FOG - {23, 165, 11}
Helicopter_H3: SNOW - {203, 68, 2}
JetPlane_J2: FOG - {11, 221, 79}
JetPlane_J1: SNOW - {23, 165, 4}
Helicopter_H3: SUN - {213, 68, 4}
JetPlane_J2: RAIN - {11, 226, 79}
JetPlane_J1: RAIN - {23, 170, 4}
Helicopter_H3: SUN - {223, 68, 6}
JetPlane_J2: FOG - {11, 227, 79}
JetPlane_J1: SUN - {23, 180, 6}
Tower says: Helicopter_H3 unregistered from weather tower.
Tower says: JetPlane_J1 unregistered from weather tower.
JetPlane_J2: SNOW - {11, 227, 72}
JetPlane_J2: SNOW - {11, 227, 65}
JetPlane_J2: SNOW - {11, 227, 58}
JetPlane_J2: RAIN - {11, 232, 58}
JetPlane_J2: FOG - {11, 233, 58}
JetPlane_J2: FOG - {11, 234, 58}
JetPlane_J2: SUN - {11, 244, 60}
JetPlane_J2: SNOW - {11, 244, 53}
JetPlane_J2: SUN - {11, 254, 55}
JetPlane_J2: SNOW - {11, 254, 48}
JetPlane_J2: FOG - {11, 255, 48}
JetPlane_J2: FOG - {11, 256, 48}
JetPlane_J2: FOG - {11, 257, 48}
JetPlane_J2: SNOW - {11, 257, 41}
JetPlane_J2: SUN - {11, 267, 43}
JetPlane_J2: FOG - {11, 268, 43}
JetPlane_J2: FOG - {11, 269, 43}
JetPlane_J2: RAIN - {11, 274, 43}
JetPlane_J2: SUN - {11, 284, 45}
JetPlane_J2: SNOW - {11, 284, 38}
JetPlane_J2: SNOW - {11, 284, 31}
JetPlane_J2: SUN - {11, 294, 33}
JetPlane_J2: SUN - {11, 304, 35}
JetPlane_J2: RAIN - {11, 309, 35}
JetPlane_J2: FOG - {11, 310, 35}
JetPlane_J2: SUN - {11, 320, 37}
JetPlane_J2: SNOW - {11, 320, 30}
JetPlane_J2: SUN - {11, 330, 32}
JetPlane_J2: FOG - {11, 331, 32}
JetPlane_J2: SUN - {11, 341, 34}
JetPlane_J2: RAIN - {11, 346, 34}
JetPlane_J2: FOG - {11, 347, 34}
JetPlane_J2: RAIN - {11, 352, 34}
JetPlane_J2: SNOW - {11, 352, 27}
JetPlane_J2: SNOW - {11, 352, 20}
JetPlane_J2: SUN - {11, 362, 22}
JetPlane_J2: SUN - {11, 372, 24}
JetPlane_J2: SUN - {11, 382, 26}
JetPlane_J2: SUN - {11, 392, 28}
JetPlane_J2: SUN - {11, 402, 30}
JetPlane_J2: FOG - {11, 403, 30}
JetPlane_J2: RAIN - {11, 408, 30}
JetPlane_J2: SUN - {11, 418, 32}
JetPlane_J2: SNOW - {11, 418, 25}
JetPlane_J2: SUN - {11, 428, 27}
JetPlane_J2: RAIN - {11, 433, 27}
JetPlane_J2: SNOW - {11, 433, 20}
JetPlane_J2: RAIN - {11, 438, 20}
JetPlane_J2: SNOW - {11, 438, 13}
JetPlane_J2: SNOW - {11, 438, 6}
Tower says: JetPlane_J2 unregistered from weather tower.
